GNSS Locations for ALL the Earthquakes
st_name	lat	lon	elv	samp_rate	gain	unit
0176	38.5395	141.1476	0.0	1.00	1.000000e+04	counts/cm
0177	38.4117	140.8514	0.0	1.00	1.000000e+04	counts/cm
0179	38.0297	140.8440	0.0	1.00	1.000000e+04	counts/cm
0180	37.9899	140.4426	0.0	1.00	1.000000e+04	counts/cm
0181	40.3250	140.5774	0.0	1.00	1.000000e+04	counts/cm
0182	40.2712	140.2637	0.0	1.00	1.000000e+04	counts/cm
0183	40.2154	140.7873	0.0	1.00	1.000000e+04	counts/cm
0184	40.2473	140.0487	0.0	1.00	1.000000e+04	counts/cm
0185	40.0069	140.4020	0.0	1.00	1.000000e+04	counts/cm
0186	39.9361	140.1324	0.0	1.00	1.000000e+04	counts/cm
0187	39.7492	140.5971	0.0	1.00	1.000000e+04	counts/cm
0188	39.6583	140.2342	0.0	1.00	1.000000e+04	counts/cm
0189	39.5493	140.3866	0.0	1.00	1.000000e+04	counts/cm
0190	39.3270	140.5598	0.0	1.00	1.000000e+04	counts/cm
0191	39.2061	139.9077	0.0	1.00	1.000000e+04	counts/cm
0192	39.1642	140.1620	0.0	1.00	1.000000e+04	counts/cm
0193	39.0519	140.6296	0.0	1.00	1.000000e+04	counts/cm
0194	39.1856	139.5477	0.0	1.00	1.000000e+04	counts/cm
0195	38.7597	139.9574	0.0	1.00	1.000000e+04	counts/cm
0196	38.5940	139.8318	0.0	1.00	1.000000e+04	counts/cm
0197	38.1462	139.7423	0.0	1.00	1.000000e+04	counts/cm
0198	37.9636	140.0935	0.0	1.00	1.000000e+04	counts/cm
0199	38.1975	140.0776	0.0	1.00	1.000000e+04	counts/cm
0200	37.6833	140.4665	0.0	1.00	1.000000e+04	counts/cm
0201	37.5606	140.7551	0.0	1.00	1.000000e+04	counts/cm
0202	37.5669	140.0727	0.0	1.00	1.000000e+04	counts/cm
0203	37.5337	141.0066	0.0	1.00	1.000000e+04	counts/cm
0204	37.4735	139.5286	0.0	1.00	1.000000e+04	counts/cm
0205	37.3255	140.6621	0.0	1.00	1.000000e+04	counts/cm
0206	37.3028	139.3644	0.0	1.00	1.000000e+04	counts/cm
0207	37.2815	139.5038	0.0	1.00	1.000000e+04	counts/cm
0209	37.2611	139.8714	0.0	1.00	1.000000e+04	counts/cm
0210	37.1263	140.2599	0.0	1.00	1.000000e+04	counts/cm
0211	37.0893	140.5617	0.0	1.00	1.000000e+04	counts/cm
0212	36.8621	140.4133	0.0	1.00	1.000000e+04	counts/cm
0213	36.6506	140.2934	0.0	1.00	1.000000e+04	counts/cm
0214	36.8003	140.7539	0.0	1.00	1.000000e+04	counts/cm
0215	36.3649	140.0780	0.0	1.00	1.000000e+04	counts/cm
0216	36.3444	140.4763	0.0	1.00	1.000000e+04	counts/cm
0217	36.8542	140.0393	0.0	1.00	1.000000e+04	counts/cm
0218	36.6660	139.6193	0.0	1.00	1.000000e+04	counts/cm
0219	36.5989	139.9235	0.0	1.00	1.000000e+04	counts/cm
0220	36.7697	139.2249	0.0	1.00	1.000000e+04	counts/cm
0221	36.5080	138.5527	0.0	1.00	1.000000e+04	counts/cm
0222	36.4216	139.3304	0.0	1.00	1.000000e+04	counts/cm
0223	35.9869	139.0757	0.0	1.00	1.000000e+04	counts/cm
0224	35.8960	139.7960	0.0	1.00	1.000000e+04	counts/cm
0225	35.6572	140.0481	0.0	1.00	1.000000e+04	counts/cm
0226	35.2432	140.3849	0.0	1.00	1.000000e+04	counts/cm
0227	35.0028	139.9749	0.0	1.00	1.000000e+04	counts/cm
0228	35.6637	139.6307	0.0	1.00	1.000000e+04	counts/cm
0229	35.3362	139.1626	0.0	1.00	1.000000e+04	counts/cm
0230	35.2686	139.1424	0.0	1.00	1.000000e+04	counts/cm
0231	38.4654	139.2534	0.0	1.00	1.000000e+04	counts/cm
0232	38.3193	138.5131	0.0	1.00	1.000000e+04	counts/cm
0233	38.0633	138.4717	0.0	1.00	1.000000e+04	counts/cm
0234	37.9294	139.3515	0.0	1.00	1.000000e+04	counts/cm
0235	37.8159	138.2731	0.0	1.00	1.000000e+04	counts/cm
0236	37.6859	139.4779	0.0	1.00	1.000000e+04	counts/cm
0237	37.6675	138.7805	0.0	1.00	1.000000e+04	counts/cm
0238	37.6623	139.0591	0.0	1.00	1.000000e+04	counts/cm
0239	37.4677	138.9980	0.0	1.00	1.000000e+04	counts/cm
0240	37.3113	138.7900	0.0	1.00	1.000000e+04	counts/cm
0241	37.2311	138.3336	0.0	1.00	1.000000e+04	counts/cm
0242	37.1660	138.9337	0.0	1.00	1.000000e+04	counts/cm
0243	37.1608	138.1002	0.0	1.00	1.000000e+04	counts/cm
0244	37.0791	138.6087	0.0	1.00	1.000000e+04	counts/cm
0245	37.0452	137.8739	0.0	1.00	1.000000e+04	counts/cm
0246	36.9935	138.8309	0.0	1.00	1.000000e+04	counts/cm
0247	36.8654	138.1987	0.0	1.00	1.000000e+04	counts/cm
0248	36.7406	136.9961	0.0	1.00	1.000000e+04	counts/cm
0249	36.6343	137.1952	0.0	1.00	1.000000e+04	counts/cm
0250	36.5787	137.4399	0.0	1.00	1.000000e+04	counts/cm
0251	36.4019	136.9206	0.0	1.00	1.000000e+04	counts/cm
0252	37.8505	136.9193	0.0	1.00	1.000000e+04	counts/cm
0253	37.4460	137.2701	0.0	1.00	1.000000e+04	counts/cm
0255	36.3945	136.3889	0.0	1.00	1.000000e+04	counts/cm
0256	36.1653	136.6339	0.0	1.00	1.000000e+04	counts/cm
0257	36.1456	136.2789	0.0	1.00	1.000000e+04	counts/cm
0258	35.9849	136.5049	0.0	1.00	1.000000e+04	counts/cm
0259	35.9450	135.9898	0.0	1.00	1.000000e+04	counts/cm
0260	35.7928	136.1974	0.0	1.00	1.000000e+04	counts/cm
0261	35.5344	135.9076	0.0	1.00	1.000000e+04	counts/cm
0262	35.4627	135.6089	0.0	1.00	1.000000e+04	counts/cm
0263	35.8560	138.3164	0.0	1.00	1.000000e+04	counts/cm
0264	35.7469	138.6951	0.0	1.00	1.000000e+04	counts/cm
0265	36.8017	138.4362	0.0	1.00	1.000000e+04	counts/cm
0266	36.7065	137.8723	0.0	1.00	1.000000e+04	counts/cm
0267	36.6652	138.2475	0.0	1.00	1.000000e+04	counts/cm
0268	36.3862	138.3225	0.0	1.00	1.000000e+04	counts/cm
0269	36.3460	138.6378	0.0	1.00	1.000000e+04	counts/cm
0270	36.3224	137.9028	0.0	1.00	1.000000e+04	counts/cm
0271	36.2085	138.2165	0.0	1.00	1.000000e+04	counts/cm
0272	36.1306	138.4610	0.0	1.00	1.000000e+04	counts/cm
0273	36.1211	137.9830	0.0	1.00	1.000000e+04	counts/cm
0274	35.7836	137.6963	0.0	1.00	1.000000e+04	counts/cm
0275	35.5561	138.0383	0.0	1.00	1.000000e+04	counts/cm
0276	35.5211	137.8152	0.0	1.00	1.000000e+04	counts/cm
0277	35.3171	137.9253	0.0	1.00	1.000000e+04	counts/cm
0278	35.2470	137.5877	0.0	1.00	1.000000e+04	counts/cm
0279	36.3355	137.1472	0.0	1.00	1.000000e+04	counts/cm
0280	36.0330	136.9528	0.0	1.00	1.000000e+04	counts/cm
0281	35.9735	137.5349	0.0	1.00	1.000000e+04	counts/cm
0282	35.8669	136.8632	0.0	1.00	1.000000e+04	counts/cm
0283	35.7578	136.9753	0.0	1.00	1.000000e+04	counts/cm
0284	35.6572	137.4248	0.0	1.00	1.000000e+04	counts/cm
0285	35.6362	136.4888	0.0	1.00	1.000000e+04	counts/cm
0286	35.6329	136.6114	0.0	1.00	1.000000e+04	counts/cm
0287	35.6121	137.1741	0.0	1.00	1.000000e+04	counts/cm
0288	35.4883	136.6873	0.0	1.00	1.000000e+04	counts/cm
0289	35.4787	137.1247	0.0	1.00	1.000000e+04	counts/cm
0291	35.3717	136.5497	0.0	1.00	1.000000e+04	counts/cm
0292	35.3674	137.1102	0.0	1.00	1.000000e+04	counts/cm
0293	35.2620	137.4056	0.0	1.00	1.000000e+04	counts/cm
0294	35.2279	136.5934	0.0	1.00	1.000000e+04	counts/cm
0295	35.0315	137.9804	0.0	1.00	1.000000e+04	counts/cm
0296	34.9865	138.5157	0.0	1.00	1.000000e+04	counts/cm
0297	34.8656	138.9223	0.0	1.00	1.000000e+04	counts/cm
0298	35.3348	136.9300	0.0	1.00	1.000000e+04	counts/cm
0299	35.1901	136.8288	0.0	1.00	1.000000e+04	counts/cm
0300	35.1388	137.2536	0.0	1.00	1.000000e+04	counts/cm
0301	35.0395	137.3132	0.0	1.00	1.000000e+04	counts/cm
0302	34.9950	137.0598	0.0	1.00	1.000000e+04	counts/cm
0303	34.9197	137.2999	0.0	1.00	1.000000e+04	counts/cm
0304	34.8234	136.8676	0.0	1.00	1.000000e+04	counts/cm
0305	34.7949	137.1190	0.0	1.00	1.000000e+04	counts/cm
0306	34.6487	137.2778	0.0	1.00	1.000000e+04	counts/cm
0307	34.6092	137.0681	0.0	1.00	1.000000e+04	counts/cm
0309	34.9138	136.6365	0.0	1.00	1.000000e+04	counts/cm
0310	34.7429	136.1835	0.0	1.00	1.000000e+04	counts/cm
0311	34.5470	136.5507	0.0	1.00	1.000000e+04	counts/cm
0312	34.4331	136.3343	0.0	1.00	1.000000e+04	counts/cm
0314	34.2534	136.8206	0.0	1.00	1.000000e+04	counts/cm
0315	33.8751	136.0859	0.0	1.00	1.000000e+04	counts/cm
0316	33.7413	136.0109	0.0	1.00	1.000000e+04	counts/cm
0317	35.5573	136.1979	0.0	1.00	1.000000e+04	counts/cm
0318	35.4663	136.0537	0.0	1.00	1.000000e+04	counts/cm
0319	35.3513	135.9132	0.0	1.00	1.000000e+04	counts/cm
0320	35.3190	136.0628	0.0	1.00	1.000000e+04	counts/cm
0321	35.2694	136.2356	0.0	1.00	1.000000e+04	counts/cm
0322	35.1370	135.8708	0.0	1.00	1.000000e+04	counts/cm
0323	34.9864	136.1450	0.0	1.00	1.000000e+04	counts/cm
0324	34.9396	135.9062	0.0	1.00	1.000000e+04	counts/cm
0326	34.8693	136.0548	0.0	1.00	1.000000e+04	counts/cm
0327	35.7524	135.1732	0.0	1.00	1.000000e+04	counts/cm
0328	35.5557	134.9323	0.0	1.00	1.000000e+04	counts/cm
0329	35.2923	135.1640	0.0	1.00	1.000000e+04	counts/cm
0331	35.1638	135.3669	0.0	1.00	1.000000e+04	counts/cm
0332	35.0776	135.5645	0.0	1.00	1.000000e+04	counts/cm
0333	34.9886	135.6654	0.0	1.00	1.000000e+04	counts/cm
0334	34.7470	135.8642	0.0	1.00	1.000000e+04	counts/cm
0335	34.7778	135.6855	0.0	1.00	1.000000e+04	counts/cm
0336	34.6779	135.5185	0.0	1.00	1.000000e+04	counts/cm
0337	34.5273	135.4813	0.0	1.00	1.000000e+04	counts/cm
0338	34.4791	135.6273	0.0	1.00	1.000000e+04	counts/cm
0339	34.4248	135.5869	0.0	1.00	1.000000e+04	counts/cm
0340	34.4065	135.3642	0.0	1.00	1.000000e+04	counts/cm
0341	35.4367	134.5825	0.0	1.00	1.000000e+04	counts/cm
0342	35.3149	134.8185	0.0	1.00	1.000000e+04	counts/cm
0343	35.1053	135.1819	0.0	1.00	1.000000e+04	counts/cm
0344	35.0945	134.5860	0.0	1.00	1.000000e+04	counts/cm
0345	35.0908	134.9726	0.0	1.00	1.000000e+04	counts/cm
0346	34.9976	134.4038	0.0	1.00	1.000000e+04	counts/cm
0347	34.9847	134.7673	0.0	1.00	1.000000e+04	counts/cm
0348	34.9768	135.3260	0.0	1.00	1.000000e+04	counts/cm
0349	34.9448	135.1764	0.0	1.00	1.000000e+04	counts/cm
0350	34.8973	134.5452	0.0	1.00	1.000000e+04	counts/cm
0351	34.8122	135.2159	0.0	1.00	1.000000e+04	counts/cm
0352	34.8049	134.9972	0.0	1.00	1.000000e+04	counts/cm
0353	34.7909	135.3418	0.0	1.00	1.000000e+04	counts/cm
0354	34.7870	134.8288	0.0	1.00	1.000000e+04	counts/cm
0355	34.7243	135.3804	0.0	1.00	1.000000e+04	counts/cm
0356	34.6870	135.1723	0.0	1.00	1.000000e+04	counts/cm
0357	34.6699	134.5196	0.0	1.00	1.000000e+04	counts/cm
